family_base,knob_variant,ratio_variant,pipeline,runs_total,infeasible_runs,feasible_runs,metric_mean,metric_sem,infeasible_rate,perf_mean,perf_sem,_x
vol,highvar,off50_on50,MILP+CostAwareBestFit,50,0,50,1.0132170109589305,0.0024405536871300107,0.0,1.3217010958930464,0.24405536871300107,highvar
vol,highvar,off50_on50,MILP+PrimalDual,50,0,50,1.0187950521462634,0.003541328979218136,0.0,1.8795052146263425,0.3541328979218136,highvar
vol,highvar,off50_on50,UtilizationPriced(exp)+CostAwareBestFit,50,0,50,1.0176107408130004,0.0015949126367860438,0.0,1.7610740813000403,0.1594912636786044,highvar
vol,highvar,off50_on50,UtilizationPriced(exp)+PrimalDual,50,0,50,1.0187213901113035,0.0016630459513869056,0.0,1.872139011130347,0.16630459513869056,highvar
vol,highvar,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.0064330173762133,0.0015856481082699686,0.0,0.6433017376213268,0.15856481082699686,highvar
vol,highvar,off50_on50,UtilizationPriced+PrimalDual,50,0,50,1.007270440173513,0.0014066223699661946,0.0,0.7270440173513082,0.14066223699661945,highvar
vol,lowvar,off50_on50,MILP+CostAwareBestFit,50,0,50,1.0120971210875027,0.0020074119547737377,0.0,1.2097121087502716,0.20074119547737376,lowvar
vol,lowvar,off50_on50,MILP+PrimalDual,50,0,50,1.016654683899955,0.002668392848763248,0.0,1.6654683899955058,0.2668392848763248,lowvar
vol,lowvar,off50_on50,UtilizationPriced(exp)+CostAwareBestFit,50,0,50,1.0142571340510087,0.0011065109240971408,0.0,1.4257134051008702,0.11065109240971409,lowvar
vol,lowvar,off50_on50,UtilizationPriced(exp)+PrimalDual,50,0,50,1.0162745778047702,0.001575785852442581,0.0,1.6274577804770152,0.1575785852442581,lowvar
vol,lowvar,off50_on50,UtilizationPriced+CostAwareBestFit,50,0,50,1.0065705617520049,0.0013952612727625693,0.0,0.6570561752004878,0.13952612727625693,lowvar
vol,lowvar,off50_on50,UtilizationPriced+PrimalDual,50,0,50,1.0083948193015893,0.0016854725625869598,0.0,0.8394819301589251,0.168547256258696,lowvar
